method,category,anomaly_type,n_good,n_anomaly,auroc,f1_max,f1_threshold,precision_at_f1,recall_at_f1
Fusion RankAvg,breakfast_box,overall,102,173,0.8051116400317353,0.7926829268292683,0.6307828517923306,0.8387096774193549,0.7514450867052023
Fusion RankAvg,juice_bottle,logical,94,142,0.8154779742283488,0.7795275590551181,0.2857920139941566,0.8839285714285714,0.6971830985915493
Fusion RankAvg,juice_bottle,structural,94,94,0.7386826618379357,0.7083333333333334,0.17263949217523816,0.5821917808219178,0.9042553191489362
Fusion RankAvg,juice_bottle,overall,94,236,0.7848900108186081,0.8413547237076648,0.08857528432337877,0.7261538461538461,1.0
Fusion RankAvg,pushpins,logical,138,91,0.610248447204969,0.6046511627906976,0.2605875077469569,0.43333333333333335,1.0
Fusion RankAvg,pushpins,structural,138,81,0.644122383252818,0.6122448979591837,0.34718708330762194,0.4573170731707317,0.9259259259259259
Fusion RankAvg,pushpins,overall,138,172,0.6262007077856421,0.744920993227991,0.30171144027666363,0.6088560885608856,0.9593023255813954
Fusion RankAvg,screw_bag,logical,122,137,0.6284851023094411,0.6976744186046512,0.41015434889342595,0.54,0.9854014598540146
Fusion RankAvg,screw_bag,structural,122,82,0.7945821671331467,0.7208121827411168,0.6303240709688324,0.6173913043478261,0.8658536585365854
Fusion RankAvg,screw_bag,overall,122,219,0.6906766973575866,0.7854545454545454,0.4104312271448003,0.6525679758308157,0.9863013698630136
Fusion RankAvg,splicing_connectors,logical,119,108,0.6991129785247433,0.6556016597510373,0.39318267793854483,0.5939849624060151,0.7314814814814815
Fusion RankAvg,splicing_connectors,structural,119,85,0.6863074641621355,0.6343612334801763,0.3568585050184183,0.5070422535211268,0.8470588235294118
Fusion RankAvg,splicing_connectors,overall,119,193,0.6934732442199678,0.7649402390438247,0.17789105699345634,0.6213592233009708,0.9948186528497409
Fusion WeightedAvg,breakfast_box,logical,102,83,0.9060949681077249,0.8333333333333334,0.893187823280884,0.8235294117647058,0.8433734939759037
Fusion WeightedAvg,breakfast_box,structural,102,90,0.7398692810457516,0.6708860759493671,0.8679267636458915,0.7794117647058824,0.5888888888888889
Fusion WeightedAvg,breakfast_box,overall,102,173,0.8196191771506289,0.7924528301886793,0.7566825592599006,0.8689655172413793,0.7283236994219653
Fusion WeightedAvg,juice_bottle,logical,94,142,0.8470931974827689,0.8059701492537313,-0.6541469426254072,0.8571428571428571,0.7605633802816901
Fusion WeightedAvg,juice_bottle,structural,94,94,0.82922136713445,0.7652173913043478,-0.9605552579051219,0.6470588235294118,0.9361702127659575
Fusion WeightedAvg,juice_bottle,overall,94,236,0.8399747565813199,0.8523364485981308,-1.1610831380400488,0.7625418060200669,0.9661016949152542
Fusion WeightedAvg,pushpins,logical,138,91,0.5997770345596434,0.6197183098591549,-0.2145307415087453,0.45595854922279794,0.967032967032967
Fusion WeightedAvg,pushpins,structural,138,81,0.9830917874396135,0.54,-1.0398795992503806,0.3698630136986301,1.0
Fusion WeightedAvg,pushpins,overall,138,172,0.7802915402763734,0.7136929460580913,-1.0398795992503806,0.5548387096774193,1.0
Fusion WeightedAvg,screw_bag,logical,122,137,0.6275577360296758,0.6984126984126984,-0.049345591232851205,0.5477178423236515,0.9635036496350365
Fusion WeightedAvg,screw_bag,structural,122,82,0.7980807676929229,0.7011494252873564,0.7650592280621551,0.6630434782608695,0.7439024390243902
Fusion WeightedAvg,screw_bag,overall,122,219,0.6914065424058686,0.7874306839186691,-0.046742284907241416,0.6614906832298136,0.9726027397260274
Fusion WeightedAvg,splicing_connectors,logical,119,108,0.6763149704326175,0.6467065868263473,-0.8983865359048125,0.4778761061946903,1.0
Fusion WeightedAvg,splicing_connectors,structural,119,85,0.6689075630252102,0.6147186147186147,-0.30237941211098607,0.4863013698630137,0.8352941176470589
Fusion WeightedAvg,splicing_connectors,overall,119,193,0.6730526407454172,0.7643564356435644,-0.9249344834196719,0.6185897435897436,1.0
