method,category,defect_type,count,mean,std,min,25%,50%,75%,max
EfficientAD,pushpins,structural_anomalies,81.0,75.01860621240404,448.05790125285444,1.3832814693450928,3.945164680480957,4.58534574508667,5.009646892547607,3110.0830078125
EfficientAD,screw_bag,good,122.0,0.9341468894090809,0.2232203332474063,0.5210000872612,0.7806199789047241,0.9088045358657838,1.0744814276695251,1.4797179698944092
EfficientAD,screw_bag,logical_anomalies,137.0,1.0810165553197373,0.25581532672347546,0.5519016981124878,0.9097943305969238,1.052060842514038,1.236068606376648,1.862146019935608
EfficientAD,screw_bag,structural_anomalies,82.0,1.1772898908068494,0.3265966999529145,0.6260606050491333,0.9780822545289993,1.121472418308258,1.3961039185523987,2.3177711963653564
EfficientAD,splicing_connectors,good,119.0,1.026845874906588,0.19710082229758955,0.6605044007301331,0.9106170535087585,1.0020673274993896,1.1214830875396729,1.77845561504364
EfficientAD,splicing_connectors,logical_anomalies,108.0,0.9276849765468527,0.25456435236269925,0.5343901515007019,0.743101105093956,0.9129420816898346,1.0813054144382477,1.8133620023727417
EfficientAD,splicing_connectors,structural_anomalies,85.0,1.9622358209946575,4.375631606406854,0.5197203755378723,0.8599085211753845,1.0178427696228027,1.1896979808807373,26.08930778503418
Fusion Max,breakfast_box,good,102.0,1.485245654774586,0.7561216135270344,0.346476438786329,0.9102277599265278,1.312271166482809,1.890972542904799,3.737308633177445
Fusion Max,breakfast_box,logical_anomalies,83.0,18.622495140800346,26.748676009423367,0.1674763897561419,2.2085189083102623,5.000413296555688,19.572360052321418,81.10426887526879
Fusion Max,breakfast_box,structural_anomalies,90.0,2.5923249436315934,1.740476745910466,0.4559651452409914,1.221559391735594,1.8303658912648748,3.6721665093354185,7.65398636826532
Fusion Max,juice_bottle,good,94.0,1.1735626030317714,0.3936681580049674,0.1983958041540261,0.8871671638128807,1.188050973008901,1.4207510927025404,2.2233856903784344
Fusion Max,juice_bottle,logical_anomalies,142.0,3.9089126021845515,2.8222510676650066,0.4984605911182431,1.5077378088789342,2.383179877442876,6.838051031484076,11.478872767630152
Fusion Max,juice_bottle,structural_anomalies,94.0,2.7003771882006573,3.1726150887303297,0.4754156894078188,1.2408055465561463,1.6573561884116654,2.679225640864792,23.953413558297484
Fusion Max,pushpins,good,138.0,3.4941921404149814,2.7649129034059983,-1.088569842857209,0.7996196210906346,4.301582295636352,5.451797796553775,10.5857830990317
Fusion Max,pushpins,logical_anomalies,91.0,6.655005167382154,8.047323242784405,0.1937338564407994,2.000175159515377,3.791523751868808,6.403303939282839,30.92098119716753
Fusion Max,pushpins,structural_anomalies,81.0,348.5526188676146,2112.193926357943,1.427648517160408,13.504646029019558,16.522529549539072,18.52273154153104,14656.17798880207
Fusion Max,screw_bag,good,122.0,0.010364730835139002,0.6274344520649848,-0.928608163053512,-0.4374809208498522,-0.11781995079853716,0.38343467747144805,1.8822607227925765
Fusion Max,screw_bag,logical_anomalies,137.0,0.4999330675858142,0.9020987459073533,-0.8235340653886537,-0.1507526355641393,0.3381084444949133,0.8901671749503567,3.685068356152631
Fusion Max,screw_bag,structural_anomalies,82.0,1.1294206115384047,1.2478877902287993,-0.3427136277439943,0.18144386718705513,0.8987571693523857,1.679890741016276,5.832935244917937
Fusion Max,splicing_connectors,good,119.0,0.3557095030841623,0.7719242768014839,-0.8297046947002238,-0.14179761976602068,0.2343892593942651,0.7200827551310267,3.2905426388001
Fusion Max,splicing_connectors,logical_anomalies,108.0,2.9615924259603332,7.140282323309648,-0.8281897734761273,-0.1990326426056869,0.3907609143232095,1.633600533406739,32.0769276088279
Fusion Max,splicing_connectors,structural_anomalies,85.0,5.399843814417526,20.407610136609396,-0.6444772547299341,-0.0239643571708509,0.6292935585206431,1.648491696076505,117.89455733078006
