method,category,anomaly_type,n_good,n_anomaly,auroc,f1,precision,recall,val_threshold
Patch-Stat Memory (NN),pushpins,overall,138,172,0.7007077856420627,0.656891495601173,0.6627218934911243,0.6511627906976745,0.0294849291296639
Patch-Stat Memory (NN),screw_bag,logical,122,137,0.5938135694627258,0.27380952380952384,0.7419354838709677,0.1678832116788321,0.034584465306423715
Patch-Stat Memory (NN),screw_bag,structural,122,82,0.6897241103558577,0.3783783783783784,0.7241379310344828,0.25609756097560976,0.034584465306423715
Patch-Stat Memory (NN),screw_bag,overall,122,219,0.6297252788382364,0.3247232472324723,0.8461538461538461,0.2009132420091324,0.034584465306423715
Patch-Stat Memory (NN),splicing_connectors,logical,119,108,0.453781512605042,0.2222222222222222,0.5555555555555556,0.1388888888888889,0.0367262817968589
Patch-Stat Memory (NN),splicing_connectors,structural,119,85,0.6889767671774593,0.49612403100775193,0.7272727272727273,0.3764705882352941,0.0367262817968589
Patch-Stat Memory (NN),splicing_connectors,overall,119,193,0.5573649148778683,0.373015873015873,0.7966101694915254,0.24352331606217617,0.0367262817968589
Region-Aware Patch Memory,breakfast_box,logical,102,83,0.7162768721946612,0.6190476190476191,0.9069767441860465,0.46987951807228917,0.05409877711328961
Region-Aware Patch Memory,breakfast_box,structural,102,90,0.6461873638344227,0.39316239316239315,0.8518518518518519,0.25555555555555554,0.05409877711328961
Region-Aware Patch Memory,breakfast_box,overall,102,173,0.6798141221806641,0.5188284518828452,0.9393939393939394,0.3583815028901734,0.05409877711328961
Region-Aware Patch Memory,juice_bottle,logical,94,142,0.846568774348217,0.8014981273408239,0.856,0.7535211267605634,0.03274867545556405
Region-Aware Patch Memory,juice_bottle,structural,94,94,0.8388411045722046,0.7555555555555555,0.7906976744186046,0.723404255319149,0.03274867545556405
Region-Aware Patch Memory,juice_bottle,overall,94,236,0.8434908041831951,0.8158508158508159,0.9067357512953368,0.7415254237288136,0.03274867545556405
Region-Aware Patch Memory,pushpins,logical,138,91,0.5072463768115942,0.47577092511013214,0.39705882352941174,0.5934065934065934,0.024991239241227942
Region-Aware Patch Memory,pushpins,structural,138,81,0.9962426194310252,0.6639344262295082,0.49693251533742333,1.0,0.024991239241227942
Region-Aware Patch Memory,pushpins,overall,138,172,0.7375294910684193,0.6940874035989717,0.6221198156682027,0.7848837209302325,0.024991239241227942
Region-Aware Patch Memory,screw_bag,logical,122,137,0.6345578556898408,0.20253164556962025,0.7619047619047619,0.11678832116788321,0.03155652729730151
Region-Aware Patch Memory,screw_bag,structural,122,82,0.837764894042383,0.44642857142857145,0.8333333333333334,0.3048780487804878,0.03155652729730151
Region-Aware Patch Memory,screw_bag,overall,122,219,0.7106445093195597,0.30943396226415093,0.8913043478260869,0.1872146118721461,0.03155652729730151
Region-Aware Patch Memory,splicing_connectors,logical,119,108,0.5903361344537815,0.3924050632911392,0.62,0.28703703703703703,0.027299956139177017
Region-Aware Patch Memory,splicing_connectors,structural,119,85,0.7494809688581315,0.631578947368421,0.7164179104477612,0.5647058823529412,0.027299956139177017
Region-Aware Patch Memory,splicing_connectors,overall,119,193,0.6604258283624331,0.5429553264604811,0.8061224489795918,0.40932642487046633,0.027299956139177017
